TIMESTAMP,CGI
2008-02-03 10:18:28,1077
2008-02-03 10:22:21,1077
2008-02-03 10:45:08,1077
2008-02-03 10:54:36,1077
2008-02-03 10:55:12,1035
2008-02-03 11:04:39,1038
2008-02-03 11:05:15,1038
2008-02-03 11:10:17,952
2008-02-03 11:14:42,953
2008-02-03 11:15:17,953
2008-02-03 11:20:19,912
2008-02-03 11:24:45,870
2008-02-03 11:28:49,911
2008-02-03 11:33:50,911
2008-02-03 11:34:48,912
2008-02-03 11:36:18,912
2008-02-03 11:41:20,872
2008-02-03 11:44:52,916
2008-02-03 11:51:23,962
2008-02-03 11:54:55,962
2008-02-03 11:56:25,962
2008-02-03 12:04:58,963
2008-02-03 12:13:10,1005
2008-02-03 12:25:05,921
2008-02-03 12:35:08,881
2008-02-03 12:45:12,751
2008-02-03 12:55:15,753
2008-02-03 13:00:16,752
2008-02-03 13:05:18,751
2008-02-03 13:10:14,709
2008-02-03 13:15:22,752
2008-02-03 13:17:56,752
2008-02-03 13:23:33,796
2008-02-03 13:25:25,796
2008-02-03 13:28:34,796
2008-02-03 13:41:14,755
2008-02-03 13:55:35,538
2008-02-03 14:11:04,495
2008-02-03 14:15:42,495
2008-02-03 14:16:06,495
2008-02-03 14:20:43,494
2008-02-03 14:25:50,494
2008-02-03 14:46:07,495
2008-02-03 14:51:08,539
2008-02-03 14:53:58,581
2008-02-03 14:56:10,580
2008-02-03 15:01:12,580
2008-02-03 15:04:01,580
2008-02-03 15:06:13,580
2008-02-03 15:11:15,580
2008-02-03 15:14:05,580
2008-02-03 15:24:08,574
2008-02-03 15:34:11,660
2008-02-03 15:44:15,746
2008-02-03 15:52:07,746
2008-02-03 15:54:18,789
2008-02-03 16:04:21,788
2008-02-03 16:05:52,744
2008-02-03 16:10:54,788
2008-02-03 16:14:24,788
2008-02-03 16:15:55,788
2008-02-03 16:24:28,743
2008-02-03 16:34:31,615
2008-02-03 16:44:34,572
2008-02-03 16:54:38,529
2008-02-03 16:55:15,529
2008-02-03 17:00:17,529
2008-02-03 17:04:41,529
2008-02-03 17:05:19,529
2008-02-03 17:10:20,487
2008-02-03 17:15:21,488
2008-02-03 17:20:23,488
2008-02-03 17:24:47,445
2008-02-03 17:25:24,445
2008-02-03 17:30:26,402
2008-02-03 17:35:28,359
2008-02-03 17:40:29,315
2008-02-03 17:44:53,272
2008-02-03 17:45:31,273
2008-02-03 17:50:33,274
2008-02-03 17:54:57,274
2008-02-03 17:55:34,274
2008-02-03 18:00:36,274
2008-02-03 18:05:00,273
2008-02-03 18:05:38,273
2008-02-03 18:15:03,315
2008-02-03 18:15:41,315
2008-02-03 18:20:43,359
2008-02-03 18:23:10,359
2008-02-03 18:25:07,402
2008-02-03 18:33:14,447
2008-02-03 18:35:10,447
2008-02-03 18:38:15,489
2008-02-03 18:43:17,490
2008-02-03 18:45:13,489
2008-02-03 18:48:19,532
2008-02-03 18:55:17,532
2008-02-03 19:05:20,573
2008-02-03 19:09:02,572
2008-02-03 19:15:23,615
2008-02-03 19:20:13,615
2008-02-03 19:28:28,615
2008-02-03 19:36:45,658
2008-02-03 19:38:31,701
2008-02-03 19:47:47,700
2008-02-03 19:48:34,701
2008-02-03 19:52:48,700
2008-02-03 19:58:38,614
2008-02-03 20:08:41,571
2008-02-03 20:10:01,571
2008-02-03 20:18:44,528
2008-02-03 20:21:01,527
2008-02-03 20:28:47,528
2008-02-03 20:31:34,528
2008-02-03 20:33:36,529
2008-02-03 20:38:37,529
2008-02-03 20:38:50,529
2008-02-03 20:43:39,488
2008-02-03 20:48:41,491
2008-02-03 20:48:53,491
2008-02-03 20:53:42,491
2008-02-03 20:58:44,491
2008-02-03 20:58:57,491
2008-02-03 21:03:46,490
2008-02-03 21:08:47,576
2008-02-03 21:09:00,576
2008-02-03 21:13:49,576
2008-02-03 21:18:51,576
2008-02-03 21:30:21,576
2008-02-03 21:35:23,621
2008-02-03 21:37:14,664
2008-02-03 21:38:14,664
2008-02-03 21:43:15,707
2008-02-03 21:47:17,707
2008-02-03 21:48:17,706
2008-02-03 21:53:19,748
2008-02-03 21:57:21,747
2008-02-03 21:58:20,748
2008-02-03 22:03:22,791
2008-02-03 22:07:24,834
2008-02-03 22:08:24,834
2008-02-03 22:13:25,834
2008-02-03 22:17:27,877
2008-02-03 22:25:07,876
2008-02-03 22:27:31,878
2008-02-03 22:30:09,879
2008-02-03 22:35:11,922
2008-02-03 22:37:34,923
2008-02-03 22:40:12,967
2008-02-03 22:45:14,1010
2008-02-03 22:47:37,1010
2008-02-03 22:50:16,1010
2008-02-03 22:55:17,967
2008-02-03 23:00:19,923
2008-02-03 23:05:21,923
2008-02-03 23:07:44,922
2008-02-03 23:17:47,961
2008-02-03 23:26:54,1046
2008-02-03 23:27:51,1046
2008-02-03 23:33:10,1003
2008-02-03 23:37:54,961
2008-02-03 23:38:11,961
2008-02-03 23:43:13,875
2008-02-03 23:47:57,832
2008-02-03 23:58:01,789
2008-02-04 00:08:04,783
2008-02-04 00:12:34,826
2008-02-04 00:17:35,826
2008-02-04 00:18:07,826
2008-02-04 00:26:59,785
2008-02-04 00:28:11,785
2008-02-04 00:32:01,786
2008-02-04 00:37:03,743
2008-02-04 00:38:14,743
2008-02-04 00:42:04,743
2008-02-04 00:42:52,743
2008-02-04 00:47:53,614
2008-02-04 00:48:17,614
2008-02-04 00:52:55,572
2008-02-04 00:57:57,572
2008-02-04 00:58:21,572
2008-02-04 01:02:57,573
2008-02-04 01:07:59,617
2008-02-04 01:08:23,617
2008-02-04 01:18:26,703
2008-02-04 01:28:30,750
2008-02-04 01:31:39,794
